"rules","support","confidence","lift"
"1","{GRMZM2G126812*0} => {GRMZM2G120069*0}",0.158249158249158,0.451923076923077,1.19840315934066
"2","{GRMZM2G126812*0} => {GRMZM2G331833*0}",0.168350168350168,0.480769230769231,1.2309350132626
"3","{GRMZM2G126812*0} => {GRMZM2G068575*0}",0.158249158249158,0.451923076923077,1.15707891246684
"4","{GRMZM2G126812*0} => {GRMZM2G174236*0}",0.158249158249158,0.451923076923077,1.14718934911243
"5","{GRMZM2G126812*0} => {GRMZM2G031568*0}",0.158249158249158,0.451923076923077,1.10017339218159
"6","{GRMZM2G126812*0} => {GRMZM2G108919*0}",0.164983164983165,0.471153846153846,1.16610576923077
"7","{GRMZM2G057690*0} => {GRMZM2G177169*0}",0.161616161616162,0.457142857142857,1.20151706700379
"8","{GRMZM2G057690*0} => {GRMZM2G172794*0}",0.161616161616162,0.457142857142857,1.18062111801242
"9","{GRMZM2G052111*0} => {GRMZM2G375675*0}",0.158249158249158,0.456310679611651,1.18880940214614
"10","{GRMZM2G052111*0} => {GRMZM2G174949*0}",0.171717171717172,0.495145631067961,1.26774355540676
"11","{GRMZM2G052111*0} => {GRMZM5G864903*0}",0.161616161616162,0.466019417475728,1.17294717788382
"12","{GRMZM2G052111*0} => {GRMZM2G170351*0}",0.164983164983165,0.475728155339806,1.20761762509335
"13","{GRMZM2G052111*0} => {GRMZM5G871419*0}",0.164983164983165,0.475728155339806,1.19738357742307
"14","{GRMZM2G052111*0} => {GRMZM2G167492*0}",0.164983164983165,0.475728155339806,1.16769638128861
"15","{GRMZM5G854880*0} => {GRMZM2G102779*0}",0.168350168350168,0.467289719626168,1.26168224299065
"16","{GRMZM2G102779*0} => {GRMZM5G854880*0}",0.168350168350168,0.454545454545455,1.26168224299065
"17","{GRMZM5G854880*0} => {GRMZM2G028129*0}",0.178451178451178,0.495327102803738,1.27923608289313
"18","{GRMZM2G028129*0} => {GRMZM5G854880*0}",0.178451178451178,0.460869565217391,1.27923608289313
"19","{GRMZM5G854880*0} => {GRMZM2G109959*0}",0.164983164983165,0.457943925233645,1.19306443679292
"20","{GRMZM5G854880*0} => {GRMZM2G067350*0}",0.181818181818182,0.504672897196262,1.30337261275904
"21","{GRMZM2G067350*0} => {GRMZM5G854880*0}",0.181818181818182,0.469565217391304,1.30337261275904
"22","{GRMZM5G854880*0} => {GRMZM2G301885*0}",0.164983164983165,0.457943925233645,1.15262157452875
"23","{GRMZM5G854880*0} => {GRMZM2G031568*0}",0.171717171717172,0.476635514018692,1.16033399724222
"24","{GRMZM5G854880*0} => {GRMZM2G167492*0}",0.164983164983165,0.457943925233645,1.12404418011895
"25","{GRMZM2G460861*0} => {GRMZM2G020594*0}",0.175084175084175,0.485981308411215,1.23364485981308
"26","{GRMZM2G460861*0} => {GRMZM2G167492*0}",0.164983164983165,0.457943925233645,1.12404418011895
"27","{GRMZM2G166099*0} => {GRMZM2G047720*0}",0.185185185185185,0.514018691588785,1.36306742323097
"28","{GRMZM2G047720*0} => {GRMZM2G166099*0}",0.185185185185185,0.491071428571429,1.36306742323097
"29","{GRMZM2G166099*0} => {GRMZM2G701389*0}",0.185185185185185,0.514018691588785,1.33915395966552
"30","{GRMZM2G701389*0} => {GRMZM2G166099*0}",0.185185185185185,0.482456140350877,1.33915395966552
"31","{GRMZM2G166099*0} => {GRMZM5G881088*0}",0.171717171717172,0.476635514018692,1.23096302316132
"32","{GRMZM2G166099*0} => {GRMZM5G864903*0}",0.198653198653199,0.551401869158878,1.38785046728972
"33","{GRMZM5G864903*0} => {GRMZM2G166099*0}",0.198653198653199,0.5,1.38785046728972
"34","{GRMZM2G166099*0} => {GRMZM2G174621*0}",0.178451178451178,0.495327102803738,1.22593457943925
"35","{GRMZM2G310362*0} => {GRMZM2G037335*0}",0.168350168350168,0.467289719626168,1.26168224299065
"36","{GRMZM2G037335*0} => {GRMZM2G310362*0}",0.168350168350168,0.454545454545455,1.26168224299065
"37","{GRMZM2G310362*0} => {GRMZM2G151706*0}",0.178451178451178,0.495327102803738,1.32533468047487
"38","{GRMZM2G151706*0} => {GRMZM2G310362*0}",0.178451178451178,0.477477477477477,1.32533468047487
"39","{GRMZM2G310362*0} => {GRMZM2G327199*0}",0.171717171717172,0.476635514018692,1.17967289719626
"40","{AC206840.3_FG002*0} => {GRMZM2G128214*0}",0.168350168350168,0.462962962962963,1.18534482758621
"41","{AC206840.3_FG002*0} => {GRMZM2G314546*0}",0.164983164983165,0.453703703703704,1.19247787610619
"42","{GRMZM2G177866*0} => {GRMZM2G174860*0}",0.168350168350168,0.462962962962963,1.27314814814815
"43","{GRMZM2G174860*0} => {GRMZM2G177866*0}",0.168350168350168,0.462962962962963,1.27314814814815
"44","{GRMZM2G177866*0} => {GRMZM2G170727*0}",0.178451178451178,0.490740740740741,1.28982300884956
"45","{GRMZM2G170727*0} => {GRMZM2G177866*0}",0.178451178451178,0.469026548672566,1.28982300884956
"46","{GRMZM2G177866*0} => {GRMZM2G174236*0}",0.171717171717172,0.472222222222222,1.19871794871795
"47","{GRMZM2G177866*0} => {GRMZM2G327199*0}",0.171717171717172,0.472222222222222,1.16875
