"from","to","value"
"GRMZM2G340807","GRMZM2G137375","0.0215516870343469"
"GRMZM2G175258","GRMZM2G174236","0.0214493079472169"
"BC","GRMZM2G072850","0.0213818574217806"
"GRMZM5G856837","GRMZM2G072850","0.0213620152548168"
"GRMZM5G838420","GRMZM2G057690","0.0213053527977808"
"GRMZM2G109547","GRMZM2G154460","0.0212680895672682"
"GRMZM2G088834","GRMZM2G031568","0.0211858328252031"
"GRMZM5G856837","GRMZM2G021433","0.0211511044621259"
"GRMZM2G072850","GRMZM2G135314","0.0211459474549492"
"GRMZM2G088834","GRMZM2G131907","0.021055521411359"
"GRMZM2G300348","GRMZM2G021514","0.0210288317623038"
"GRMZM2G327199","GRMZM2G154078","0.0210090892536985"
"GRMZM2G419267","GRMZM2G167492","0.0209463860285899"
"GRMZM2G152135","GRMZM2G320298","0.0209194834344366"
"GRMZM2G377904","GRMZM2G477340","0.0208623801659402"
"GRMZM2G154078","GRMZM2G151107","0.020856262972867"
"GRMZM2G104955","GRMZM2G082180","0.0208510281305616"
"GRMZM2G020594","GRMZM2G320298","0.0208036568160227"
"GRMZM2G172794","AC208559.3_FG003","0.0208031561577362"
"GRMZM2G067350","GRMZM2G154078","0.0208005701919198"
"GRMZM2G088834","GRMZM5G854880","0.0207982164618776"
"GRMZM2G089565","AC206840.3_FG002","0.020778416603285"
"GRMZM2G301208","GRMZM2G314546","0.0207734337512686"
"GRMZM2G152135","GRMZM2G438438","0.0207492328008492"
"GRMZM2G377904","GRMZM2G174949","0.0207294991356577"
"GRMZM2G089491","GRMZM2G042516","0.0206971773931787"
"GRMZM2G037335","GRMZM2G459432","0.0206856858249459"
"GRMZM2G377904","GRMZM2G042516","0.0206775995629049"
"GRMZM2G701389","GRMZM2G314546","0.0205795978907335"
"GRMZM2G131907","GRMZM2G017678","0.0204976579018909"
"GRMZM2G128214","GRMZM2G021514","0.0204470770452133"
"BC","GRMZM2G167492","0.0204192058242318"
"GRMZM2G174949","GRMZM2G052111","0.0204114620771455"
"GRMZM2G152135","GRMZM2G035592","0.0203933502647336"
"AC","GRMZM2G300348","0.0203891807445256"
"GRMZM5G856837","AC203754.4_FG008","0.0203791885634326"
"GRMZM2G327199","GRMZM5G871419","0.0203691036377276"
"GRMZM2G089491","GRMZM2G120069","0.0203030412820577"
"GRMZM2G300348","GRMZM2G071270","0.0202696416765371"
"GRMZM2G072850","GRMZM2G120069","0.0202649838120546"
"GRMZM2G419267","GRMZM2G089565","0.020221756770131"
"GRMZM2G375675","GRMZM2G068575","0.0201741229624587"
"GRMZM5G854880","GRMZM2G151107","0.020160444656568"
"GRMZM5G856837","GRMZM2G167492","0.0201392459533364"
"GRMZM2G035592","GRMZM5G856837","0.0201207581862386"
"GRMZM2G104955","GRMZM2G149442","0.0201159060194048"
"GRMZM2G036409","GRMZM2G042516","0.0200788801979152"
"GRMZM2G067350","GRMZM5G854880","0.0200274843982841"
"GRMZM2G152135","GRMZM2G089491","0.0199976592924223"
"BC","GRMZM2G120069","0.0199765033391284"
"GRMZM2G010353","GRMZM2G174949","0.0199679062086765"
"GRMZM5G854880","GRMZM2G021433","0.0199656727933308"
"GRMZM2G037335","GRMZM2G331833","0.0199457025449936"
"GRMZM2G082180","GRMZM2G331833","0.0198927227493015"
"GRMZM2G152373","GRMZM2G116881","0.0198600815088335"
"GRMZM5G838420","GRMZM5G871419","0.0198595336417707"
"GRMZM2G116881","GRMZM2G021433","0.0198107160420258"
"GRMZM2G149230","GRMZM2G042488","0.0197158041672778"
"BC","GRMZM2G174860","0.0196953600266047"
"GRMZM2G375675","GRMZM2G042516","0.0196849294336558"
"GRMZM2G067350","GRMZM2G375675","0.0196765889463433"
"GRMZM2G166099","GRMZM2G170351","0.0196763562378066"
"GRMZM2G151706","GRMZM2G174621","0.0196054808312986"
"GRMZM2G320298","GRMZM2G052111","0.0195739007135091"
"GRMZM2G149230","GRMZM2G314546","0.0195718700064241"
"GRMZM2G131907","GRMZM2G513713","0.0195708361823701"
"GRMZM2G101938","AC203754.4_FG008","0.0195475065497864"
"GRMZM2G177866","GRMZM2G142776","0.0195272057668146"
"GRMZM2G152373","GRMZM2G154078","0.0195230180089237"
"GRMZM5G838420","GRMZM2G052111","0.0195216756349108"
"GRMZM2G108457","GRMZM2G701389","0.0195013127960955"
"GRMZM2G088834","GRMZM2G102779","0.0194991033633809"
"GRMZM2G010353","GRMZM2G017678","0.0193752175891867"
"GRMZM2G701389","GRMZM2G131907","0.0193714595000027"
"GRMZM2G314546","GRMZM2G021514","0.0193325770156341"
"GRMZM2G102779","GRMZM2G036409","0.0192992519994789"
"GRMZM2G154460","AC203754.4_FG008","0.0192934997853016"
"GRMZM2G154078","GRMZM2G072850","0.0192921093101939"
"GRMZM2G108457","GRMZM2G089565","0.0192435854930011"
"AC","GRMZM2G310362","0.0192051605160336"
"GRMZM2G340807","GRMZM5G856837","0.0191829352390527"
"GRMZM5G856837","GRMZM2G028129","0.0191824732525829"
"GRMZM2G010353","GRMZM2G477340","0.0191820881449751"
"GRMZM2G088834","GRMZM2G068575","0.019181279014951"
"GRMZM2G174949","AC208559.3_FG003","0.0191193405868983"
"GRMZM2G031568","GRMZM2G327199","0.0190885115461533"
"GRMZM2G301208","GRMZM2G513713","0.019082710759913"
"GRMZM5G838420","GRMZM2G172794","0.0190724998524024"
"GRMZM2G071270","GRMZM5G864903","0.0190610942010652"
"GRMZM2G035592","GRMZM2G154460","0.0190229817478875"
"GRMZM2G459432","GRMZM2G375675","0.0190066489919703"
"GRMZM2G088834","GRMZM2G107609","0.0189965877413199"
"GRMZM2G429899","GRMZM2G147145","0.0189570796126752"
"GRMZM2G327199","GRMZM2G120069","0.0189447477656669"
"GRMZM2G102779","GRMZM2G419267","0.0189212845847494"
"GRMZM2G037335","AC208559.3_FG003","0.0189163208303758"
"GRMZM2G149230","GRMZM2G174236","0.0188661303006598"
"GRMZM2G170727","AC206840.3_FG002","0.0188643419539856"
"GRMZM2G569903","GRMZM5G864903","0.0188358645241023"
"GRMZM2G154460","GRMZM2G157481","0.0188354916985436"
"GRMZM2G109547","GRMZM2G438438","0.0188258263589604"
"GRMZM2G137375","GRMZM2G157481","0.0188246752560766"
"GRMZM2G419267","GRMZM2G031568","0.0188192505376101"
"GRMZM2G151706","GRMZM2G042516","0.0188172288877145"
"GRMZM2G149230","GRMZM2G010353","0.0188119947019734"
"GRMZM2G067350","GRMZM2G320298","0.0188080254967364"
"GRMZM2G082180","GRMZM2G089565","0.0187614605028744"
"GRMZM2G108457","GRMZM5G838420","0.0187285002934243"
"GRMZM2G172794","GRMZM2G320298","0.0187278442649434"
"GRMZM2G340807","GRMZM2G314546","0.0187004425266354"
"GRMZM2G067350","GRMZM2G327199","0.0186728535406946"
"GRMZM2G301208","GRMZM2G135314","0.0186592451972935"
"GRMZM2G154460","GRMZM2G089491","0.018653166450124"
"GRMZM2G089491","GRMZM2G068575","0.0186359741960447"
"GRMZM5G838420","GRMZM2G072850","0.0186025453236793"
"GRMZM2G037335","GRMZM2G101938","0.0185883034072929"
"GRMZM5G838420","GRMZM2G477340","0.0185852756929261"
"GRMZM2G032222","GRMZM2G089491","0.0185809952306958"
"GRMZM2G147145","GRMZM2G135314","0.0185797680904085"
"GRMZM2G310362","GRMZM2G172794","0.0185793071568749"
"GRMZM2G082180","GRMZM2G135314","0.0185583292493435"
"GRMZM2G108457","GRMZM2G477340","0.0185500341065257"
"GRMZM2G021514","GRMZM2G042506","0.0185482065775895"
"GRMZM2G154460","GRMZM2G052111","0.0185350467099165"
"GRMZM2G032222","GRMZM2G472945","0.0185117213256159"
"GRMZM2G108457","GRMZM2G149230","0.018479536595213"
"GRMZM2G010353","AC203754.4_FG008","0.018456720554344"
"GRMZM2G047720","GRMZM2G021433","0.0184491622035396"
"GRMZM2G128214","GRMZM2G028252","0.0183821443503045"
"GRMZM2G071270","AC203754.4_FG008","0.0183651199772614"
"GRMZM2G036409","GRMZM2G017678","0.0183525065772576"
"GRMZM2G032222","GRMZM2G327199","0.0183348356014391"
"GRMZM2G128214","GRMZM2G010353","0.0183045590862367"
"GRMZM2G137375","GRMZM2G320298","0.0182808031116566"
"GRMZM2G154460","GRMZM2G116881","0.0182742856846652"
"GRMZM2G104955","GRMZM5G856837","0.0182398826530704"
"GRMZM2G320298","GRMZM2G167492","0.0182297163585497"
"GRMZM2G459432","GRMZM5G881088","0.0182216651341119"
"GRMZM2G012966","GRMZM2G157481","0.0181810777344936"
"GRMZM2G035592","GRMZM2G042516","0.0181529788787483"
"GRMZM2G109547","GRMZM2G120069","0.0181489825004134"
"GRMZM5G856837","GRMZM2G089491","0.018126581230465"
"GRMZM5G856837","GRMZM2G170727","0.0180754651651357"
"GRMZM2G108919","AC203754.4_FG008","0.018062559932747"
"GRMZM2G394237","GRMZM2G375675","0.0180256314342378"
"GRMZM2G104955","GRMZM2G128214","0.0180089965858356"
"GRMZM2G036409","GRMZM2G301885","0.0179975898841289"
"GRMZM2G147145","GRMZM2G042488","0.0179611053925065"
"GRMZM2G082180","GRMZM2G477340","0.0179459447980208"
"GRMZM2G108457","GRMZM2G052111","0.017925664970252"
"GRMZM2G037335","GRMZM2G108919","0.0178566361210258"
"GRMZM5G871419","GRMZM2G021514","0.0178082132876758"
"GRMZM2G032222","GRMZM2G071270","0.0177952278029533"
"GRMZM2G149230","GRMZM2G327199","0.0177840719735578"
"GRMZM2G102779","GRMZM2G072850","0.0177469837123574"
"GRMZM2G174236","AC206840.3_FG002","0.0177389610008971"
"GRMZM2G108457","GRMZM2G012498","0.0176856729727689"
"GRMZM2G177169","GRMZM2G057690","0.017669163405031"
"GRMZM2G152447","GRMZM2G429899","0.017659914763599"
"GRMZM2G102779","GRMZM2G057690","0.0176274222103851"
"GRMZM2G314546","GRMZM2G052111","0.0175798434580495"
"GRMZM2G175258","GRMZM2G314546","0.0175441374224542"
"GRMZM2G037335","GRMZM2G021514","0.0175441345501828"
"GRMZM2G149442","GRMZM2G135314","0.0175291844915334"
"GRMZM2G174621","GRMZM2G177169","0.0175224456515576"
"GRMZM2G429899","GRMZM2G052111","0.0175144733013942"
"AC203754.4_FG008","GRMZM2G012498","0.01747058608794"
"GRMZM2G104955","GRMZM2G152447","0.0174452083779335"
"GRMZM2G147145","GRMZM2G021433","0.0174309719324795"
"GRMZM2G020594","GRMZM2G081464","0.0174295489380618"
"GRMZM2G300348","GRMZM2G154460","0.0174174184634404"
"GRMZM2G340807","GRMZM2G042516","0.0174117334616419"
"GRMZM2G089491","GRMZM2G174621","0.0174010854803494"
"GRMZM2G472945","GRMZM2G068575","0.0173628795112433"
"GRMZM2G067350","GRMZM2G147145","0.0173547850502241"
"GRMZM2G175258","AC203754.4_FG008","0.0173388552179423"
"GRMZM2G102779","GRMZM2G154460","0.0173342469629732"
"GRMZM2G301208","GRMZM2G072850","0.0173312936693787"
"GRMZM2G104955","GRMZM2G067350","0.0172937718411233"
"GRMZM2G101938","GRMZM2G170727","0.0172886071084913"
"LUT","GRMZM2G135314","0.0172840766226484"
"GRMZM2G301208","GRMZM2G375675","0.0172714770692042"
"GRMZM2G310362","GRMZM2G108919","0.017236598298083"
"AC","GRMZM5G881088","0.0172187976314519"
"GRMZM2G088834","GRMZM2G109547","0.0172047544294587"
"GRMZM2G149230","GRMZM2G340807","0.0171976271366605"
"GRMZM2G071270","GRMZM2G314546","0.017188821866937"
"GRMZM2G101938","GRMZM2G057690","0.0171507160321736"
"Bcry","GRMZM2G012966","0.0171337294709168"
"BC","GRMZM2G327199","0.0171146491027041"
"GRMZM2G149230","GRMZM2G109547","0.0171087477530601"
"GRMZM2G088834","GRMZM2G340807","0.0170939811325867"
"GRMZM2G131907","GRMZM2G042506","0.0170731315210064"
"GRMZM2G108919","GRMZM2G021514","0.0170091376819062"
"GRMZM2G037335","GRMZM2G126812","0.0170002844656499"
"GRMZM2G477340","GRMZM2G068575","0.0169478622613919"
"GRMZM2G377904","GRMZM2G137375","0.0169358014431524"
"GRMZM2G174236","GRMZM2G170727","0.0169354220729315"
"GRMZM2G300348","GRMZM2G047720","0.0169135465287387"
"GRMZM2G104955","GRMZM2G021514","0.0168728591017025"
"GRMZM2G166099","GRMZM2G071270","0.0168664723856917"
"GRMZM2G340807","GRMZM2G120069","0.016847510445156"
"GRMZM2G157481","GRMZM2G042516","0.0167343634181996"
"GRMZM2G131907","GRMZM2G057690","0.0166578469635833"
"ZEA","GRMZM5G854880","0.0166564330755183"
"GRMZM2G108457","GRMZM2G147145","0.0166546319102919"
"GRMZM2G028129","GRMZM2G072850","0.0166449782175268"
"GRMZM2G032222","GRMZM2G128214","0.0166362642473369"
"GRMZM5G854880","GRMZM5G856837","0.0166045289420501"
"Bcry","GRMZM2G088919","0.0166001045656875"
"GRMZM2G031568","GRMZM2G154078","0.0165982536948974"
"GRMZM2G340807","GRMZM2G170727","0.0165875215889267"
"GRMZM2G174621","GRMZM2G042516","0.0165322537501233"
"GRMZM2G101938","GRMZM2G314546","0.0165115898680772"
"GRMZM2G154460","GRMZM2G028129","0.0164894421358124"
"GRMZM2G010353","GRMZM2G109547","0.0164745422828551"
"GRMZM2G047720","GRMZM2G172794","0.0164677937967575"
"LUT","GRMZM2G157481","0.0164571278534962"
"GRMZM2G036409","GRMZM2G152373","0.0164447732950594"
"GRMZM2G108457","GRMZM2G067350","0.0164297214711911"
"GRMZM2G047720","GRMZM2G170351","0.0164129463102254"
"GRMZM2G151107","GRMZM2G042516","0.0164071755175027"
"GRMZM2G108919","GRMZM2G152373","0.0164026071861205"
"GRMZM2G149442","GRMZM2G128214","0.0163662615509647"
"GRMZM2G088834","GRMZM2G057690","0.0163656947219693"
"GRMZM2G149442","GRMZM2G109959","0.0163284670930583"
"GRMZM2G116881","AC206840.3_FG002","0.0163270373426989"
"GRMZM2G310362","GRMZM2G012498","0.0162996636295611"
"GRMZM2G172794","GRMZM2G089565","0.0162808541142458"
"GRMZM2G170742","GRMZM2G170727","0.0162551058459406"
"GRMZM2G701389","GRMZM2G072850","0.0162524242582656"
"GRMZM2G067350","GRMZM2G314546","0.0162432356410103"
"GRMZM5G838420","GRMZM2G152373","0.0162398446851881"
"GRMZM2G082180","GRMZM2G102779","0.0162394579956085"
"GRMZM2G149230","GRMZM2G036409","0.0162248818302585"
"GRMZM2G067350","GRMZM2G042488","0.0161568143420345"
"GRMZM2G151706","GRMZM2G107609","0.0161469358601043"
"GRMZM2G101938","GRMZM2G135314","0.0161368303902899"
"GRMZM2G154460","GRMZM2G042516","0.0161360084307847"
"GRMZM2G154460","GRMZM5G856837","0.0161235017800869"
"GRMZM2G152135","GRMZM2G042516","0.0161063143141301"
"GRMZM2G037335","GRMZM2G472945","0.0160937265132739"
"GRMZM2G088919","GRMZM2G137375","0.0160652814894161"
"AC208559.3_FG003","GRMZM2G057690","0.0160583980555333"
"GRMZM2G102779","GRMZM2G052111","0.0160226793452872"
"GRMZM2G472945","GRMZM2G012498","0.0160154855036206"
"GRMZM2G154460","GRMZM2G042488","0.0159909340047251"
"AC206840.3_FG002","GRMZM2G135314","0.0159507861690791"
"GRMZM2G152135","GRMZM2G102779","0.0159199263441432"
"LUT","GRMZM2G071270","0.0159171932943699"
"GRMZM2G036409","GRMZM2G068575","0.015904497960572"
"GRMZM2G012966","GRMZM2G131907","0.0158979690721149"
"GRMZM2G419267","AC203754.4_FG008","0.0158571425061471"
"GRMZM2G020594","GRMZM2G108919","0.0158452751733994"
"GRMZM2G137375","GRMZM2G057690","0.0157956647549061"
"GRMZM2G472945","GRMZM5G856837","0.0157900979424303"
"GRMZM2G067350","GRMZM2G031568","0.0157858639919462"
"GRMZM2G102779","GRMZM2G010353","0.015780727379433"
"GRMZM2G031568","GRMZM2G021433","0.0157806729602477"
"GRMZM2G175258","GRMZM2G429899","0.0157718074057326"
"GRMZM2G057690","GRMZM2G068575","0.0157646099121245"
"GRMZM2G472945","GRMZM2G174236","0.0157579618205727"
"GRMZM2G036409","GRMZM2G142776","0.0157555523926907"
"GRMZM2G327199","GRMZM2G151107","0.0157507007065485"
"GRMZM2G460861","GRMZM2G081464","0.0157474376321091"
"GRMZM2G154460","GRMZM2G177169","0.0157449114849285"
"GRMZM2G088919","GRMZM2G042516","0.015738791879443"
"GRMZM2G102779","GRMZM2G174236","0.0157209736291219"
"GRMZM2G031568","GRMZM2G152373","0.0156994013824649"
"GRMZM2G459432","GRMZM2G301208","0.015692231974077"
"GRMZM2G131907","GRMZM2G167492","0.015687934860612"
"AC203754.4_FG008","GRMZM2G028129","0.0156862169063367"
"GRMZM2G149230","GRMZM2G042506","0.015670953078479"
"GRMZM2G047720","GRMZM2G135314","0.0156272399401477"
"GRMZM2G082180","GRMZM2G010353","0.0156155295695964"
"GRMZM2G088919","GRMZM2G460861","0.0155859722737834"
"GRMZM2G047720","GRMZM2G116881","0.0155838774485873"
"GRMZM2G081464","GRMZM2G120069","0.0155777111313198"
"LUT","GRMZM2G108919","0.0155512404142854"
"GRMZM2G310362","GRMZM2G102779","0.0155024951140733"
"GRMZM2G075502","GRMZM2G174949","0.0154859911215879"
"LUT","Bcry","0.015475026139574"
"GRMZM2G569903","GRMZM2G167492","0.0154729689769306"
"GRMZM2G419267","GRMZM2G177169","0.0154347474273912"
"GRMZM2G375675","GRMZM2G021433","0.0154228663350883"
"ZEA","GRMZM2G429899","0.0154012489531283"
"Bcry","GRMZM2G131907","0.0153713506052162"
"GRMZM2G108457","GRMZM2G170727","0.0153353844815085"
"GRMZM2G331833","AC208559.3_FG003","0.0153036138794818"
"GRMZM2G477340","GRMZM2G072850","0.0152901660299898"
"AC203754.4_FG008","AC206840.3_FG002","0.0152853725485524"
"AC","GRMZM2G135314","0.0152738309557896"
"GRMZM2G071270","GRMZM2G089565","0.0152677050997579"
"GRMZM2G419267","GRMZM2G170351","0.0152257023859272"
"GRMZM2G089491","AC203754.4_FG008","0.015217496045398"
"GRMZM2G128214","GRMZM2G052111","0.0152172126971358"
"GRMZM2G071270","GRMZM2G394237","0.0151995277100619"
"GRMZM2G154460","GRMZM2G137375","0.0151687312823988"
"ZEA","GRMZM2G152135","0.0151495135920652"
"GRMZM2G377904","GRMZM2G020594","0.0151471643062626"
"GRMZM2G460861","GRMZM2G109959","0.0150838718688172"
"GRMZM2G569903","GRMZM2G071270","0.0150762716787374"
"GRMZM2G017678","GRMZM2G057690","0.0150696277750881"
"GRMZM2G108457","GRMZM2G089491","0.0150689446071159"
"GRMZM2G149230","GRMZM2G116881","0.015027290092958"
"GRMZM2G108919","GRMZM2G174621","0.0150082751876415"
"GRMZM2G472945","AC203754.4_FG008","0.0150045048289554"
"GRMZM2G320298","GRMZM2G042506","0.0150024903653229"
"GRMZM2G151706","GRMZM2G377904","0.0149931101770999"
"GRMZM2G131907","GRMZM2G174949","0.0149925059873418"
"GRMZM2G151706","GRMZM2G513713","0.0149754253477313"
"GRMZM2G107609","GRMZM5G871419","0.0149695482819461"
"GRMZM2G149230","GRMZM2G031568","0.0149264815748406"
"GRMZM2G012966","GRMZM2G071270","0.0149250661277429"
"GRMZM2G151706","GRMZM2G151107","0.0148689400679959"
"GRMZM2G154460","GRMZM2G314546","0.0148671223212301"
"GRMZM2G036409","GRMZM2G131907","0.0148635389226391"
"GRMZM2G152135","GRMZM2G108457","0.0148434618575598"
"GRMZM2G300348","GRMZM2G109959","0.0148096772937004"
"GRMZM2G460861","GRMZM2G170351","0.0148073821360254"
"GRMZM2G429899","GRMZM2G036409","0.0148022332776544"
"GRMZM2G101938","GRMZM2G109959","0.0147760191503466"
"GRMZM2G088919","GRMZM2G068575","0.0147642820557119"
"GRMZM2G154460","GRMZM2G154078","0.0147638248452163"
"GRMZM2G128214","GRMZM2G089565","0.0147581568816507"
"AC","GRMZM2G101938","0.0147423508295865"
"BC","GRMZM2G088919","0.0147188500180949"
"GRMZM2G152447","GRMZM2G089491","0.0146842629534554"
"GRMZM2G149230","GRMZM2G377904","0.0146835862579433"
"ZEA","GRMZM2G021514","0.0146746598805272"
"GRMZM2G301208","GRMZM2G120069","0.0146597443276341"
"GRMZM2G152373","GRMZM2G017678","0.0146494675892203"
"GRMZM2G701389","GRMZM2G109959","0.0146445554878432"
"GRMZM2G340807","GRMZM2G438438","0.0146326178982823"
"GRMZM2G429899","GRMZM2G152373","0.0146190106662256"
"GRMZM5G838420","GRMZM2G314546","0.0146161722619455"
"GRMZM2G012966","GRMZM2G109547","0.0146139730954786"
"GRMZM5G856837","GRMZM2G174236","0.0145716900251019"
"GRMZM2G327199","GRMZM2G320298","0.01457102980813"
"AC","AC203754.4_FG008","0.0145630227628557"
"GRMZM2G088834","GRMZM2G021433","0.0145576181021174"
"GRMZM2G152373","GRMZM2G042516","0.0145503190819119"
"GRMZM2G082180","GRMZM2G031568","0.0145421069031075"
"GRMZM2G151706","GRMZM2G020594","0.0145197537119066"
"LUT","AC206840.3_FG002","0.0144781151760236"
"GRMZM2G010353","GRMZM2G314546","0.0144489231503144"
"GRMZM2G109959","GRMZM2G012498","0.0144068960993907"
"GRMZM2G107609","GRMZM2G072850","0.0144013245760356"
"GRMZM2G089565","GRMZM2G174949","0.0143781168710345"
"GRMZM2G032222","GRMZM2G031568","0.0143512769954873"
"GRMZM2G151706","GRMZM2G017678","0.014347417842484"
"Bcry","GRMZM2G174860","0.0143429128110613"
"GRMZM2G068575","GRMZM2G072850","0.0143183104647386"
"GRMZM2G152135","GRMZM2G375675","0.0143162614215233"
"GRMZM2G147145","GRMZM2G101938","0.0143023993771333"
"GRMZM2G175258","GRMZM2G107609","0.0142912982759141"
"GRMZM2G089491","GRMZM2G116881","0.0142445030871634"
"GRMZM2G459432","AC203754.4_FG008","0.0142395147872422"
"GRMZM2G102779","GRMZM2G020594","0.0142359659257248"
"GRMZM2G170351","GRMZM2G477340","0.0142264163365977"
"GRMZM2G152447","GRMZM2G152373","0.0141633724551721"
"GRMZM2G126812","GRMZM2G068575","0.0141198589045699"
"GRMZM2G067350","GRMZM2G419267","0.0141127967140007"
"GRMZM2G170742","GRMZM2G172794","0.0141068614578792"
"GRMZM2G331833","GRMZM2G327199","0.0141035733699046"
"GRMZM2G137375","GRMZM2G021433","0.0140992282669441"
"LUT","GRMZM5G838420","0.0140899144639369"
"AC","GRMZM2G089565","0.0140879800504396"
"GRMZM2G340807","GRMZM2G135314","0.0140877660600502"
"GRMZM2G394237","GRMZM2G089565","0.0140829191903716"
"GRMZM2G327199","GRMZM2G028129","0.0140600241822305"
"GRMZM2G362281","GRMZM2G157481","0.0140590138419908"
"GRMZM2G174621","GRMZM2G170351","0.0140563520749539"
"GRMZM2G331833","GRMZM2G174949","0.0140347429605829"
"GRMZM2G154460","GRMZM2G174621","0.014012163558357"
"GRMZM2G175258","GRMZM2G032222","0.0139999498146247"
"GRMZM2G394237","GRMZM2G320298","0.0139938726005791"
"GRMZM2G154460","GRMZM2G375675","0.0139843941559036"
"GRMZM2G362281","GRMZM2G068575","0.0139549854746623"
"GRMZM2G174236","GRMZM2G513713","0.0139518558370677"
"GRMZM5G856837","GRMZM2G327199","0.0139439236475462"
"GRMZM2G100727","GRMZM2G170351","0.0138980655987245"
"GRMZM2G340807","GRMZM2G021433","0.013886178577584"
"GRMZM2G154078","GRMZM2G126812","0.0138772529847531"
"GRMZM2G109547","GRMZM2G031568","0.0138606009443419"
"GRMZM2G149230","GRMZM2G174621","0.0138431175121207"
"GRMZM5G856837","GRMZM2G057690","0.0138402983344268"
"AC","GRMZM2G012966","0.0138305116268353"
"GRMZM2G149442","GRMZM2G052111","0.0138097075360938"
"GRMZM2G460861","GRMZM2G068575","0.013767558016264"
"GRMZM2G109547","GRMZM2G513713","0.0137516262184906"
"Bcry","GRMZM2G072850","0.0137310347048063"
"GRMZM2G109547","GRMZM2G151107","0.0137251254772378"
"GRMZM2G071270","GRMZM2G375675","0.0137188639349399"
"GRMZM2G331833","GRMZM5G871419","0.0137072264718751"
"GRMZM5G838420","GRMZM2G151107","0.0137053465032574"
"GRMZM2G477340","GRMZM2G028252","0.0136958273969567"
"GRMZM2G088834","GRMZM2G120069","0.0136658837167044"
"GRMZM2G052111","GRMZM2G081464","0.0136645483928043"
"GRMZM2G107609","AC208559.3_FG003","0.0136387672334698"
"GRMZM2G067350","GRMZM5G856837","0.013633636591734"
"GRMZM2G477340","AC208559.3_FG003","0.0136058013518857"
"GRMZM2G300348","GRMZM2G310362","0.0135986508456634"
"GRMZM2G017678","GRMZM2G052111","0.0135782114789728"
"GRMZM2G477340","GRMZM2G174949","0.0135720663182926"
"GRMZM2G082180","GRMZM2G017678","0.013557885151173"
"GRMZM2G071270","GRMZM2G154078","0.0135442024253586"
"GRMZM5G854880","GRMZM2G320298","0.0134989407815053"
"BC","GRMZM2G152135","0.0134977197583655"
"AC","GRMZM2G314546","0.0134958946236698"
"GRMZM2G131907","GRMZM2G042516","0.0134873823695421"
"GRMZM2G300348","GRMZM2G175258","0.0134862463768432"
"GRMZM2G109959","AC203754.4_FG008","0.0134652232476557"
"GRMZM2G152447","GRMZM2G082180","0.0134633919437468"
"GRMZM2G151107","GRMZM2G028252","0.0134450966046763"
"GRMZM2G020594","GRMZM5G838420","0.013432338526342"
"LUT","GRMZM2G089565","0.0134319465612386"
"GRMZM2G101938","GRMZM2G174949","0.0134197685487732"
"GRMZM5G856837","GRMZM2G068575","0.0133958771162979"
"GRMZM2G300348","GRMZM2G100727","0.0133952916613641"
"GRMZM2G035592","GRMZM2G375675","0.0133894929976624"
"GRMZM2G104955","GRMZM2G135314","0.013388902088039"
"GRMZM5G854880","AC208559.3_FG003","0.0133635315389357"
"GRMZM2G036409","GRMZM2G157481","0.0133626431069237"
"GRMZM2G108919","GRMZM2G170351","0.0133491920308969"
"GRMZM2G108457","GRMZM2G131907","0.0133155568626738"
"GRMZM2G340807","GRMZM2G131907","0.0132895048945449"
"GRMZM2G012966","GRMZM2G037335","0.0132872020415844"
"GRMZM2G152135","GRMZM2G177169","0.0132825140891064"
"GRMZM2G088834","GRMZM2G128214","0.0132730977589185"
"GRMZM2G172794","GRMZM2G167492","0.0132671521052474"
"GRMZM2G174860","GRMZM2G042516","0.013219724568369"
"GRMZM2G331833","GRMZM2G068575","0.0132093538139724"
"GRMZM2G067350","GRMZM2G174949","0.0132030465138828"
"GRMZM2G109547","GRMZM5G838420","0.0132016125525936"
"GRMZM5G871419","GRMZM2G477340","0.0131755190411971"
"GRMZM2G067350","GRMZM2G438438","0.0131587371475398"
"LUT","GRMZM2G310362","0.0131505648185337"
"GRMZM2G377904","GRMZM2G174860","0.013148045180394"
"GRMZM2G101938","GRMZM2G375675","0.0131405466445078"
"GRMZM2G301208","GRMZM2G151107","0.013123112412252"
"GRMZM2G170742","GRMZM2G071270","0.0131138271518818"
"GRMZM2G166099","GRMZM5G864903","0.0130965512581141"
"GRMZM2G569903","GRMZM2G701389","0.0130717331246875"
"GRMZM5G854880","GRMZM2G375675","0.0130656615346298"
"GRMZM2G128214","GRMZM2G331833","0.0130057277827649"
"GRMZM2G102779","GRMZM2G081464","0.0129895334652427"
"GRMZM2G419267","AC208559.3_FG003","0.0129790940491414"
"BC","GRMZM2G170742","0.0129789145556066"
"GRMZM2G108919","GRMZM2G131907","0.0129687596089528"
"GRMZM2G108457","GRMZM2G327199","0.0129647520529575"
"GRMZM2G032222","GRMZM2G174949","0.0129528227958857"
"GRMZM2G166099","GRMZM2G042506","0.0129204799396784"
"GRMZM2G149442","AC203754.4_FG008","0.0129203978149734"
"GRMZM2G020594","GRMZM2G157481","0.0129187311462104"
"GRMZM2G101938","GRMZM2G021433","0.0129105402304896"
"GRMZM5G838420","GRMZM2G472945","0.0128761538757846"
"GRMZM2G377904","GRMZM2G031568","0.0128760180075519"
