"V1","V2"
"GRMZM2G154460","GRMZM2G151107"
"GRMZM2G137375","GRMZM2G174236"
"GRMZM2G419267","GRMZM2G174236"
"GRMZM2G068575","GRMZM2G170727"
"GRMZM2G032222","GRMZM2G137375"
"GRMZM2G154460","GRMZM2G438438"
"GRMZM2G419267","GRMZM2G010353"
"GRMZM2G310362","GRMZM2G701389"
"GRMZM2G152373","GRMZM5G856837"
"GRMZM2G149230","GRMZM2G419267"
"GRMZM2G128214","GRMZM2G020594"
"GRMZM2G131907","GRMZM2G088919"
"GRMZM2G170727","GRMZM2G362281"
"GRMZM5G856837","GRMZM2G154078"
"GRMZM5G854880","GRMZM2G154078"
"GRMZM2G031568","GRMZM2G075502"
"GRMZM2G100727","GRMZM2G081464"
"GRMZM2G116881","GRMZM2G460861"
"GRMZM2G320298","AC206840.3_FG002"
"GRMZM2G419267","GRMZM5G838420"
"GRMZM2G032222","GRMZM2G104955"
"GRMZM2G131907","GRMZM2G137375"
"GRMZM2G068575","GRMZM2G157481"
"GRMZM2G419267","GRMZM2G147145"
"GRMZM2G047720","GRMZM2G042506"
"GRMZM2G067350","GRMZM2G082180"
"GRMZM2G036409","GRMZM2G170351"
"GRMZM2G177169","GRMZM2G438438"
"GRMZM2G327199","GRMZM5G854880"
"GRMZM2G147145","GRMZM2G042506"
"GRMZM2G419267","GRMZM2G020594"
"GRMZM2G149230","GRMZM2G154078"
"GRMZM2G036409","GRMZM2G177866"
"GRMZM2G101938","GRMZM2G154078"
"GRMZM2G472945","GRMZM2G108919"
"GRMZM2G340807","GRMZM2G362281"
"GRMZM2G301208","GRMZM2G174621"
"GRMZM2G331833","GRMZM2G477340"
"GRMZM2G149230","GRMZM5G856837"
"GRMZM2G157481","GRMZM2G301885"
"LUT","GRMZM2G170742"
"GRMZM2G052111","GRMZM2G419267"
"GRMZM2G170351","GRMZM2G081464"
"GRMZM2G109547","GRMZM2G419267"
"GRMZM2G128214","GRMZM2G031568"
"GRMZM2G057690","GRMZM2G174236"
"GRMZM2G149442","GRMZM2G082180"
"GRMZM2G151706","GRMZM2G035592"
"GRMZM2G131907","GRMZM2G035592"
"GRMZM2G072850","GRMZM2G320298"
"GRMZM2G108457","GRMZM2G394237"
"GRMZM2G036409","GRMZM2G174621"
"GRMZM2G072850","GRMZM2G081464"
"GRMZM2G429899","GRMZM2G042506"
"GRMZM2G135314","GRMZM2G172794"
"GRMZM2G089491","GRMZM2G137375"
"GRMZM2G472945","GRMZM2G036409"
"Bcry","GRMZM2G377904"
"GRMZM2G301208","GRMZM2G042516"
"GRMZM2G072850","GRMZM2G042516"
"GRMZM2G137375","GRMZM2G170727"
"GRMZM2G477340","GRMZM2G107609"
"GRMZM2G101938","GRMZM2G151107"
"GRMZM2G429899","GRMZM2G082180"
"GRMZM2G362281","GRMZM2G031568"
"GRMZM2G167492","GRMZM2G100727"
"GRMZM2G120069","GRMZM2G151107"
"GRMZM2G157481","GRMZM2G460861"
